representative,party,state,state_abbr,Democratic Majority,Not Voting,Present,Republican Majority,Neither,party_split_roll_calls,votes_cast_on_party_split_roll_calls,with_republican_pct,with_democratic_pct,missed_party_split_votes_pct
Figures,Democratic,AL,AL,355,5,2,20,0,382,375,5.3,94.7,1.3
Sewell,Democratic,AL,AL,359,4,1,18,0,382,377,4.8,95.2,1.0
Ansari,Democratic,AZ,AZ,373,6,0,3,0,382,376,0.8,99.2,1.6
Grijalva,Democratic,AZ,AZ,194,45,0,0,0,239,194,0.0,100.0,18.8
Stanton,Democratic,AZ,AZ,347,7,0,28,0,382,375,7.5,92.5,1.8
Aguilar,Democratic,CA,CA,370,2,1,9,0,382,379,2.4,97.6,0.5
Barragán,Democratic,CA,CA,372,7,0,3,0,382,375,0.8,99.2,1.8
Bera,Democratic,CA,CA,361,6,1,14,0,382,375,3.7,96.3,1.6
Brownley,Democratic,CA,CA,368,11,0,3,0,382,371,0.8,99.2,2.9
Carbajal,Democratic,CA,CA,368,1,0,13,0,382,381,3.4,96.6,0.3
Chu,Democratic,CA,CA,379,1,0,2,0,382,381,0.5,99.5,0.3
Cisneros,Democratic,CA,CA,372,1,0,9,0,382,381,2.4,97.6,0.3
Correa,Democratic,CA,CA,331,23,0,28,0,382,359,7.8,92.2,6.0
Costa,Democratic,CA,CA,318,11,1,52,0,382,370,14.1,85.9,2.9
DeSaulnier,Democratic,CA,CA,373,8,0,1,0,382,374,0.3,99.7,2.1
Friedman,Democratic,CA,CA,376,2,0,4,0,382,380,1.1,98.9,0.5
Garamendi,Democratic,CA,CA,339,37,1,5,0,382,344,1.5,98.5,9.7
Garcia (CA),Democratic,CA,CA,373,7,0,2,0,382,375,0.5,99.5,1.8
Gomez,Democratic,CA,CA,359,18,0,5,0,382,364,1.4,98.6,4.7
Gray,Democratic,CA,CA,273,19,1,89,0,382,362,24.6,75.4,5.0
Harder (CA),Democratic,CA,CA,347,2,0,33,0,382,380,8.7,91.3,0.5
Huffman,Democratic,CA,CA,376,4,0,2,0,382,378,0.5,99.5,1.0
Jacobs,Democratic,CA,CA,381,0,0,1,0,382,382,0.3,99.7,0.0
Kamlager-Dove,Democratic,CA,CA,367,13,0,2,0,382,369,0.5,99.5,3.4
Khanna,Democratic,CA,CA,374,2,0,6,0,382,380,1.6,98.4,0.5
Levin,Democratic,CA,CA,362,1,1,18,0,382,380,4.7,95.3,0.3
Liccardo,Democratic,CA,CA,372,3,0,7,0,382,379,1.8,98.2,0.8
Lieu,Democratic,CA,CA,360,12,1,9,0,382,369,2.4,97.6,3.1
Lofgren,Democratic,CA,CA,368,5,1,8,0,382,376,2.1,97.9,1.3
Matsui,Democratic,CA,CA,379,0,0,3,0,382,382,0.8,99.2,0.0
Min,Democratic,CA,CA,359,1,0,22,0,382,381,5.8,94.2,0.3
Mullin,Democratic,CA,CA,356,21,0,5,0,382,361,1.4,98.6,5.5
