representative,full_name,bioguide_id,party,state,state_abbr,district,district_code,district_key,official_url,Democratic Majority,Not Voting,Present,Republican Majority,Neither,party_split_roll_calls,votes_cast_on_party_split_roll_calls,with_republican_pct,with_democratic_pct,missed_party_split_votes_pct,govtrack_id,icpsr_id,wikidata_id,first_name,last_name,office,address,phone,term_start,term_end
Figures,Shomari Figures,F000481,Democratic,AL,AL,2.0,2.0,AL-02,https://figures.house.gov,355,5,2,20,0,382,375,5.3,94.7,1.3,456971.0,,Q129431158,Shomari,Figures,225 Cannon House Office Building,225 Cannon House Office Building Washington DC 20515-0102,202-225-4931,2025-01-03,2027-01-03
Sewell,Terri A. Sewell,S001185,Democratic,AL,AL,7.0,7.0,AL-07,https://sewell.house.gov,359,4,1,18,0,382,377,4.8,95.2,1.0,412396.0,21102.0,Q461621,Terri,Sewell,1035 Longworth House Office Building,1035 Longworth House Office Building Washington DC 20515-0107,202-225-2665,2025-01-03,2027-01-03
Ansari,Yassamin Ansari,A000381,Democratic,AZ,AZ,3.0,3.0,AZ-03,https://ansari.house.gov,373,6,0,3,0,382,376,0.8,99.2,1.6,456972.0,,Q122226202,Yassamin,Ansari,1432 Longworth House Office Building,1432 Longworth House Office Building Washington DC 20515-0303,202-225-4065,2025-01-03,2027-01-03
Grijalva,Adelita S. Grijalva,G000606,Democratic,AZ,AZ,7.0,7.0,AZ-07,https://grijalva.house.gov,194,45,0,0,0,239,194,0.0,100.0,18.8,457037.0,,Q134612342,Adelita,Grijalva,1203 Longworth House Office Building,1203 Longworth House Office Building Washington DC 20515-0307,202-225-2435,2025-11-12,2027-01-03
Stanton,Greg Stanton,S001211,Democratic,AZ,AZ,4.0,4.0,AZ-04,https://stanton.house.gov,347,7,0,28,0,382,375,7.5,92.5,1.8,412753.0,21968.0,Q5606289,Greg,Stanton,207 Cannon House Office Building,207 Cannon House Office Building Washington DC 20515-0304,202-225-9888,2025-01-03,2027-01-03
Aguilar,Pete Aguilar,A000371,Democratic,CA,CA,33.0,33.0,CA-33,https://aguilar.house.gov,370,2,1,9,0,382,379,2.4,97.6,0.5,412615.0,21506.0,Q7171821,Pete,Aguilar,108 Cannon House Office Building,108 Cannon House Office Building Washington DC 20515-0533,202-225-3201,2025-01-03,2027-01-03
Barragán,Nanette Diaz Barragán,B001300,Democratic,CA,CA,44.0,44.0,CA-44,https://barragan.house.gov,372,7,0,3,0,382,375,0.8,99.2,1.8,412687.0,21703.0,Q21662745,Nanette,Barragán,2312 Rayburn House Office Building,2312 Rayburn House Office Building Washington DC 20515-0544,202-225-8220,2025-01-03,2027-01-03
Bera,Ami Bera,B001287,Democratic,CA,CA,6.0,6.0,CA-06,https://bera.house.gov,361,6,1,14,0,382,375,3.7,96.3,1.6,412512.0,21304.0,Q3389105,Ami,Bera,172 Cannon House Office Building,172 Cannon House Office Building Washington DC 20515-0506,202-225-5716,2025-01-03,2027-01-03
Brownley,Julia Brownley,B001285,Democratic,CA,CA,26.0,26.0,CA-26,https://juliabrownley.house.gov,368,11,0,3,0,382,371,0.8,99.2,2.9,412516.0,21308.0,Q3577073,Julia,Brownley,2262 Rayburn House Office Building,2262 Rayburn House Office Building Washington DC 20515-0526,202-225-5811,2025-01-03,2027-01-03
Carbajal,Salud O. Carbajal,C001112,Democratic,CA,CA,24.0,24.0,CA-24,https://carbajal.house.gov,368,1,0,13,0,382,381,3.4,96.6,0.3,412686.0,21709.0,Q27805429,Salud,Carbajal,2331 Rayburn House Office Building,2331 Rayburn House Office Building Washington DC 20515-0524,202-225-3601,2025-01-03,2027-01-03
Chu,Judy Chu,C001080,Democratic,CA,CA,28.0,28.0,CA-28,https://chu.house.gov,379,1,0,2,0,382,381,0.5,99.5,0.3,412379.0,20955.0,Q460035,Judy,Chu,2423 Rayburn House Office Building,2423 Rayburn House Office Building Washington DC 20515-0528,202-225-5464,2025-01-03,2027-01-03
Cisneros,"Gilbert Ray Cisneros, Jr.",C001123,Democratic,CA,CA,31.0,31.0,CA-31,https://cisneros.house.gov,372,1,0,9,0,382,381,2.4,97.6,0.3,412757.0,21907.0,Q54958760,Gilbert,Cisneros,2463 Rayburn House Office Building,2463 Rayburn House Office Building Washington DC 20515-0531,202-225-5256,2025-01-03,2027-01-03
Correa,J. Luis Correa,C001110,Democratic,CA,CA,46.0,46.0,CA-46,https://correa.house.gov,331,23,0,28,0,382,359,7.8,92.2,6.0,412688.0,21711.0,Q6685454,J.,Correa,2082 Rayburn House Office Building,2082 Rayburn House Office Building Washington DC 20515-0546,202-225-2965,2025-01-03,2027-01-03
Costa,Jim Costa,C001059,Democratic,CA,CA,21.0,21.0,CA-21,https://costa.house.gov,318,11,1,52,0,382,370,14.1,85.9,2.9,400618.0,20501.0,Q675869,Jim,Costa,2081 Rayburn House Office Building,2081 Rayburn House Office Building Washington DC 20515-0521,202-225-3341,2025-01-03,2027-01-03
DeSaulnier,Mark DeSaulnier,D000623,Democratic,CA,CA,10.0,10.0,CA-10,https://desaulnier.house.gov,373,8,0,1,0,382,374,0.3,99.7,2.1,412613.0,21504.0,Q6767311,Mark,DeSaulnier,2134 Rayburn House Office Building,2134 Rayburn House Office Building Washington DC 20515-0510,202-225-2095,2025-01-03,2027-01-03
