representative,party,state,state_abbr,Democratic Majority,Not Voting,Present,Republican Majority,Neither,party_split_roll_calls,votes_cast_on_party_split_roll_calls,with_republican_pct,with_democratic_pct,missed_party_split_votes_pct,match_key,bioguide_id,govtrack_id,icpsr_id,wikidata_id,full_name,first_name,last_name,district,district_code,district_key,official_url,office,address,phone,term_start,term_end
Kamlager-Dove,Democratic,CA,CA,367,13,0,2,0,382,369,0.5,99.5,3.4,CA|kamlager dove,,,,,,,,,,,,,,,,
Swalwell,Democratic,CA,CA,209,120,0,7,0,336,216,3.2,96.8,35.7,CA|swalwell,,,,,,,,,,,,,,,,
Cherfilus-McCormick,Democratic,FL,FL,339,4,0,7,0,350,346,2.0,98.0,1.1,FL|cherfilus mccormick,,,,,,,,,,,,,,,,
"Frankel, Lois",Democratic,FL,FL,357,16,1,8,0,382,365,2.2,97.8,4.2,FL|frankel lois,,,,,,,,,,,,,,,,
Wasserman Schultz,Democratic,FL,FL,363,7,0,12,0,382,375,3.2,96.8,1.8,FL|wasserman schultz,,,,,,,,,,,,,,,,
"Scott, David",Democratic,GA,GA,341,5,0,6,0,352,347,1.7,98.3,1.4,GA|scott david,,,,,,,,,,,,,,,,
McClain Delaney,Democratic,MD,MD,355,8,0,19,0,382,374,5.1,94.9,2.1,MD|mcclain delaney,,,,,,,,,,,,,,,,
McDonald Rivet,Democratic,MI,MI,336,0,1,45,0,382,381,11.8,88.2,0.0,MI|mcdonald rivet,,,,,,,,,,,,,,,,
Sherrill,Democratic,NJ,NJ,94,102,0,7,0,203,101,6.9,93.1,50.2,NJ|sherrill,,,,,,,,,,,,,,,,
Watson Coleman,Democratic,NJ,NJ,377,5,0,0,0,382,377,0.0,100.0,1.3,NJ|watson coleman,,,,,,,,,,,,,,,,
Leger Fernandez,Democratic,NM,NM,347,31,0,4,0,382,351,1.1,98.9,8.1,NM|leger fernandez,,,,,,,,,,,,,,,,
Ocasio-Cortez,Democratic,NY,NY,370,12,0,0,0,382,370,0.0,100.0,3.1,NY|ocasio cortez,,,,,,,,,,,,,,,,
"Gonzalez, V.",Democratic,TX,TX,278,9,1,94,0,382,372,25.3,74.7,2.4,TX|gonzalez v,,,,,,,,,,,,,,,,
"Green, Al (TX)",Democratic,TX,TX,376,4,2,0,0,382,376,0.0,100.0,1.0,TX|green al,,,,,,,,,,,,,,,,
Turner (TX),Democratic,TX,TX,32,0,0,1,0,33,33,3.0,97.0,0.0,TX|turner,,,,,,,,,,,,,,,,
Connolly,Democratic,VA,VA,62,19,0,1,0,82,63,1.6,98.4,23.2,VA|connolly,,,,,,,,,,,,,,,,
LaMalfa,Republican,CA,CA,0,9,0,244,0,253,244,100.0,0.0,3.6,CA|lamalfa,,,,,,,,,,,,,,,,
Diaz-Balart,Republican,FL,FL,17,20,0,345,0,382,362,95.3,4.7,5.2,FL|diaz balart,,,,,,,,,,,,,,,,
"Franklin, Scott",Republican,FL,FL,2,2,0,378,0,382,380,99.5,0.5,0.5,FL|franklin scott,,,,,,,,,,,,,,,,
Waltz,Republican,FL,FL,0,4,0,5,0,9,5,100.0,0.0,44.4,FL|waltz,,,,,,,,,,,,,,,,
Greene (GA),Republican,GA,GA,7,25,1,220,0,253,227,96.9,3.1,9.9,GA|greene,,,,,,,,,,,,,,,,
"Scott, Austin",Republican,GA,GA,2,2,0,378,0,382,380,99.5,0.5,0.5,GA|scott austin,,,,,,,,,,,,,,,,
Miller-Meeks,Republican,IA,IA,17,12,0,353,0,382,370,95.4,4.6,3.1,IA|miller meeks,,,,,,,,,,,,,,,,
King-Hinds,Republican,MP,MP,19,8,0,13,0,40,32,40.6,59.4,20.0,MP|king hinds,,,,,,,,,,,,,,,,
Van Drew,Republican,NJ,NJ,17,4,0,361,0,382,378,95.5,4.5,1.0,NJ|van drew,,,,,,,,,,,,,,,,
Green (TN),Republican,TN,TN,0,24,0,111,0,135,111,100.0,0.0,17.8,TN|green,,,,,,,,,,,,,,,,
Van Epps,Republican,TN,TN,1,0,0,172,0,173,173,99.4,0.6,0.0,TN|van epps,,,,,,,,,,,,,,,,
De La Cruz,Republican,TX,TX,4,20,0,358,0,382,362,98.9,1.1,5.2,TX|de la cruz,,,,,,,,,,,,,,,,
"Gonzales, Tony",Republican,TX,TX,3,34,0,299,0,336,302,99.0,1.0,10.1,TX|gonzales tony,,,,,,,,,,,,,,,,
Van Duyne,Republican,TX,TX,3,1,0,378,0,382,381,99.2,0.8,0.3,TX|van duyne,,,,,,,,,,,,,,,,
Van Orden,Republican,WI,WI,12,29,1,340,0,382,352,96.6,3.4,7.6,WI|van orden,,,,,,,,,,,,,,,,
