bioguide_id,representative,party,party_code,state_abbr,Democratic Majority,Not Voting,Present,Republican Majority,Neither,party_split_roll_calls,votes_cast_on_party_split_roll_calls,with_republican_pct,with_democratic_pct,missed_party_split_votes_pct
F000481,Figures,Democratic,D,AL,355,5,2,20,0,382,375,5.3,94.7,1.3
S001185,Sewell,Democratic,D,AL,359,4,1,18,0,382,377,4.8,95.2,1.0
A000381,Ansari,Democratic,D,AZ,373,6,0,3,0,382,376,0.8,99.2,1.6
G000551,Grijalva,Democratic,D,AZ,0,44,0,0,0,44,0,0.0,0.0,100.0
G000606,Grijalva,Democratic,D,AZ,194,1,0,0,0,195,194,0.0,100.0,0.5
S001211,Stanton,Democratic,D,AZ,347,7,0,28,0,382,375,7.5,92.5,1.8
A000371,Aguilar,Democratic,D,CA,370,2,1,9,0,382,379,2.4,97.6,0.5
B001300,Barragán,Democratic,D,CA,372,7,0,3,0,382,375,0.8,99.2,1.8
B001287,Bera,Democratic,D,CA,361,6,1,14,0,382,375,3.7,96.3,1.6
B001285,Brownley,Democratic,D,CA,368,11,0,3,0,382,371,0.8,99.2,2.9
C001112,Carbajal,Democratic,D,CA,368,1,0,13,0,382,381,3.4,96.6,0.3
C001080,Chu,Democratic,D,CA,379,1,0,2,0,382,381,0.5,99.5,0.3
C001123,Cisneros,Democratic,D,CA,372,1,0,9,0,382,381,2.4,97.6,0.3
C001110,Correa,Democratic,D,CA,331,23,0,28,0,382,359,7.8,92.2,6.0
C001059,Costa,Democratic,D,CA,318,11,1,52,0,382,370,14.1,85.9,2.9
D000623,DeSaulnier,Democratic,D,CA,373,8,0,1,0,382,374,0.3,99.7,2.1
F000483,Friedman,Democratic,D,CA,376,2,0,4,0,382,380,1.1,98.9,0.5
G000559,Garamendi,Democratic,D,CA,339,37,1,5,0,382,344,1.5,98.5,9.7
G000598,Garcia (CA),Democratic,D,CA,373,7,0,2,0,382,375,0.5,99.5,1.8
G000585,Gomez,Democratic,D,CA,359,18,0,5,0,382,364,1.4,98.6,4.7
G000605,Gray,Democratic,D,CA,273,19,1,89,0,382,362,24.6,75.4,5.0
H001090,Harder (CA),Democratic,D,CA,347,2,0,33,0,382,380,8.7,91.3,0.5
H001068,Huffman,Democratic,D,CA,376,4,0,2,0,382,378,0.5,99.5,1.0
J000305,Jacobs,Democratic,D,CA,381,0,0,1,0,382,382,0.3,99.7,0.0
K000400,Kamlager-Dove,Democratic,D,CA,367,13,0,2,0,382,369,0.5,99.5,3.4
K000389,Khanna,Democratic,D,CA,374,2,0,6,0,382,380,1.6,98.4,0.5
L000593,Levin,Democratic,D,CA,362,1,1,18,0,382,380,4.7,95.3,0.3
L000607,Liccardo,Democratic,D,CA,372,3,0,7,0,382,379,1.8,98.2,0.8
L000582,Lieu,Democratic,D,CA,360,12,1,9,0,382,369,2.4,97.6,3.1
L000397,Lofgren,Democratic,D,CA,368,5,1,8,0,382,376,2.1,97.9,1.3
M001163,Matsui,Democratic,D,CA,379,0,0,3,0,382,382,0.8,99.2,0.0
M001241,Min,Democratic,D,CA,359,1,0,22,0,382,381,5.8,94.2,0.3
M001225,Mullin,Democratic,D,CA,356,21,0,5,0,382,361,1.4,98.6,5.5
P000613,Panetta,Democratic,D,CA,348,0,0,34,0,382,382,8.9,91.1,0.0
P000197,Pelosi,Democratic,D,CA,354,24,1,3,0,382,357,0.8,99.2,6.3
P000608,Peters,Democratic,D,CA,357,3,1,21,0,382,378,5.6,94.4,0.8
R000620,Rivas,Democratic,D,CA,378,3,0,1,0,382,379,0.3,99.7,0.8
R000599,Ruiz,Democratic,D,CA,365,5,0,12,0,382,377,3.2,96.8,1.3
S000344,Sherman,Democratic,D,CA,370,7,0,5,0,382,375,1.3,98.7,1.8
S001231,Simon,Democratic,D,CA,373,7,0,2,0,382,375,0.5,99.5,1.8
S001193,Swalwell,Democratic,D,CA,209,120,0,7,0,336,216,3.2,96.8,35.7
S001156,Sánchez,Democratic,D,CA,372,7,0,3,0,382,375,0.8,99.2,1.8
T000472,Takano,Democratic,D,CA,380,2,0,0,0,382,380,0.0,100.0,0.5
T000460,Thompson (CA),Democratic,D,CA,368,2,0,12,0,382,380,3.2,96.8,0.5
T000474,Torres (CA),Democratic,D,CA,365,6,0,11,0,382,376,2.9,97.1,1.6
T000491,Tran,Democratic,D,CA,348,0,2,32,0,382,380,8.4,91.6,0.0
V000130,Vargas,Democratic,D,CA,375,5,0,2,0,382,377,0.5,99.5,1.3
W000187,Waters,Democratic,D,CA,367,14,0,1,0,382,368,0.3,99.7,3.7
W000830,Whitesides,Democratic,D,CA,335,8,1,38,0,382,373,10.2,89.8,2.1
C001121,Crow,Democratic,D,CO,376,0,0,6,0,382,382,1.6,98.4,0.0
D000197,DeGette,Democratic,D,CO,377,4,0,1,0,382,378,0.3,99.7,1.0
N000191,Neguse,Democratic,D,CO,379,0,0,3,0,382,382,0.8,99.2,0.0
P000620,Pettersen,Democratic,D,CO,325,49,0,8,0,382,333,2.4,97.6,12.8
C001069,Courtney,Democratic,D,CT,340,26,1,15,0,382,355,4.2,95.8,6.8
D000216,DeLauro,Democratic,D,CT,373,3,1,5,0,382,378,1.3,98.7,0.8
H001081,Hayes,Democratic,D,CT,376,0,0,6,0,382,382,1.6,98.4,0.0
H001047,Himes,Democratic,D,CT,359,3,1,19,0,382,378,5.0,95.0,0.8
L000557,Larson (CT),Democratic,D,CT,368,11,0,3,0,382,371,0.8,99.2,2.9
M001238,McBride,Democratic,D,DE,370,2,1,9,0,382,379,2.4,97.6,0.5
C001066,Castor (FL),Democratic,D,FL,366,7,1,8,0,382,374,2.1,97.9,1.8
C001127,Cherfilus-McCormick,Democratic,D,FL,339,4,0,7,0,350,346,2.0,98.0,1.1
F000462,"Frankel, Lois",Democratic,D,FL,357,16,1,8,0,382,365,2.2,97.8,4.2
F000476,Frost,Democratic,D,FL,381,1,0,0,0,382,381,0.0,100.0,0.3
M001217,Moskowitz,Democratic,D,FL,329,10,1,42,0,382,371,11.3,88.7,2.6
S001200,Soto,Democratic,D,FL,353,0,1,28,0,382,381,7.3,92.7,0.0
W000797,Wasserman Schultz,Democratic,D,FL,363,7,0,12,0,382,375,3.2,96.8,1.8
