bioguide_id,representative,full_name,party,party_code,state_abbr,district,district_code,district_key,official_url,Democratic Majority,Not Voting,Present,Republican Majority,Neither,party_split_roll_calls,votes_cast_on_party_split_roll_calls,with_republican_pct,with_democratic_pct,missed_party_split_votes_pct,first_name,last_name,profile_party,office,address,phone,term_start,term_end
F000481,Figures,Shomari Figures,Democratic,D,AL,2.0,2.0,AL-02,https://figures.house.gov,355,5,2,20,0,382,375,5.3,94.7,1.3,Shomari,Figures,Democratic,225 Cannon House Office Building,225 Cannon House Office Building Washington DC 20515-0102,202-225-4931,2025-01-03,2027-01-03
S001185,Sewell,Terri A. Sewell,Democratic,D,AL,7.0,7.0,AL-07,https://sewell.house.gov,359,4,1,18,0,382,377,4.8,95.2,1.0,Terri,Sewell,Democratic,1035 Longworth House Office Building,1035 Longworth House Office Building Washington DC 20515-0107,202-225-2665,2025-01-03,2027-01-03
A000381,Ansari,Yassamin Ansari,Democratic,D,AZ,3.0,3.0,AZ-03,https://ansari.house.gov,373,6,0,3,0,382,376,0.8,99.2,1.6,Yassamin,Ansari,Democratic,1432 Longworth House Office Building,1432 Longworth House Office Building Washington DC 20515-0303,202-225-4065,2025-01-03,2027-01-03
G000551,Grijalva,,Democratic,D,AZ,,,,,0,44,0,0,0,44,0,0.0,0.0,100.0,,,,,,,,
G000606,Grijalva,Adelita S. Grijalva,Democratic,D,AZ,7.0,7.0,AZ-07,https://grijalva.house.gov,194,1,0,0,0,195,194,0.0,100.0,0.5,Adelita,Grijalva,Democratic,1203 Longworth House Office Building,1203 Longworth House Office Building Washington DC 20515-0307,202-225-2435,2025-11-12,2027-01-03
S001211,Stanton,Greg Stanton,Democratic,D,AZ,4.0,4.0,AZ-04,https://stanton.house.gov,347,7,0,28,0,382,375,7.5,92.5,1.8,Greg,Stanton,Democratic,207 Cannon House Office Building,207 Cannon House Office Building Washington DC 20515-0304,202-225-9888,2025-01-03,2027-01-03
A000371,Aguilar,Pete Aguilar,Democratic,D,CA,33.0,33.0,CA-33,https://aguilar.house.gov,370,2,1,9,0,382,379,2.4,97.6,0.5,Pete,Aguilar,Democratic,108 Cannon House Office Building,108 Cannon House Office Building Washington DC 20515-0533,202-225-3201,2025-01-03,2027-01-03
B001300,Barragán,Nanette Diaz Barragán,Democratic,D,CA,44.0,44.0,CA-44,https://barragan.house.gov,372,7,0,3,0,382,375,0.8,99.2,1.8,Nanette,Barragán,Democratic,2312 Rayburn House Office Building,2312 Rayburn House Office Building Washington DC 20515-0544,202-225-8220,2025-01-03,2027-01-03
B001287,Bera,Ami Bera,Democratic,D,CA,6.0,6.0,CA-06,https://bera.house.gov,361,6,1,14,0,382,375,3.7,96.3,1.6,Ami,Bera,Democratic,172 Cannon House Office Building,172 Cannon House Office Building Washington DC 20515-0506,202-225-5716,2025-01-03,2027-01-03
B001285,Brownley,Julia Brownley,Democratic,D,CA,26.0,26.0,CA-26,https://juliabrownley.house.gov,368,11,0,3,0,382,371,0.8,99.2,2.9,Julia,Brownley,Democratic,2262 Rayburn House Office Building,2262 Rayburn House Office Building Washington DC 20515-0526,202-225-5811,2025-01-03,2027-01-03
C001112,Carbajal,Salud O. Carbajal,Democratic,D,CA,24.0,24.0,CA-24,https://carbajal.house.gov,368,1,0,13,0,382,381,3.4,96.6,0.3,Salud,Carbajal,Democratic,2331 Rayburn House Office Building,2331 Rayburn House Office Building Washington DC 20515-0524,202-225-3601,2025-01-03,2027-01-03
C001080,Chu,Judy Chu,Democratic,D,CA,28.0,28.0,CA-28,https://chu.house.gov,379,1,0,2,0,382,381,0.5,99.5,0.3,Judy,Chu,Democratic,2423 Rayburn House Office Building,2423 Rayburn House Office Building Washington DC 20515-0528,202-225-5464,2025-01-03,2027-01-03
C001123,Cisneros,"Gilbert Ray Cisneros, Jr.",Democratic,D,CA,31.0,31.0,CA-31,https://cisneros.house.gov,372,1,0,9,0,382,381,2.4,97.6,0.3,Gilbert,Cisneros,Democratic,2463 Rayburn House Office Building,2463 Rayburn House Office Building Washington DC 20515-0531,202-225-5256,2025-01-03,2027-01-03
C001110,Correa,J. Luis Correa,Democratic,D,CA,46.0,46.0,CA-46,https://correa.house.gov,331,23,0,28,0,382,359,7.8,92.2,6.0,J.,Correa,Democratic,2082 Rayburn House Office Building,2082 Rayburn House Office Building Washington DC 20515-0546,202-225-2965,2025-01-03,2027-01-03
C001059,Costa,Jim Costa,Democratic,D,CA,21.0,21.0,CA-21,https://costa.house.gov,318,11,1,52,0,382,370,14.1,85.9,2.9,Jim,Costa,Democratic,2081 Rayburn House Office Building,2081 Rayburn House Office Building Washington DC 20515-0521,202-225-3341,2025-01-03,2027-01-03
D000623,DeSaulnier,Mark DeSaulnier,Democratic,D,CA,10.0,10.0,CA-10,https://desaulnier.house.gov,373,8,0,1,0,382,374,0.3,99.7,2.1,Mark,DeSaulnier,Democratic,2134 Rayburn House Office Building,2134 Rayburn House Office Building Washington DC 20515-0510,202-225-2095,2025-01-03,2027-01-03
F000483,Friedman,Laura Friedman,Democratic,D,CA,30.0,30.0,CA-30,https://friedman.house.gov,376,2,0,4,0,382,380,1.1,98.9,0.5,Laura,Friedman,Democratic,1517 Longworth House Office Building,1517 Longworth House Office Building Washington DC 20515-0530,202-225-4176,2025-01-03,2027-01-03
G000559,Garamendi,John Garamendi,Democratic,D,CA,8.0,8.0,CA-08,https://garamendi.house.gov,339,37,1,5,0,382,344,1.5,98.5,9.7,John,Garamendi,Democratic,2428 Rayburn House Office Building,2428 Rayburn House Office Building Washington DC 20515-0508,202-225-1880,2025-01-03,2027-01-03
G000598,Garcia (CA),Robert Garcia,Democratic,D,CA,42.0,42.0,CA-42,https://robertgarcia.house.gov,373,7,0,2,0,382,375,0.5,99.5,1.8,Robert,Garcia,Democratic,109 Cannon House Office Building,109 Cannon House Office Building Washington DC 20515-0542,202-225-7924,2025-01-03,2027-01-03
G000585,Gomez,Jimmy Gomez,Democratic,D,CA,34.0,34.0,CA-34,https://gomez.house.gov,359,18,0,5,0,382,364,1.4,98.6,4.7,Jimmy,Gomez,Democratic,506 Cannon House Office Building,506 Cannon House Office Building Washington DC 20515-0534,202-225-6235,2025-01-03,2027-01-03
G000605,Gray,Adam Gray,Democratic,D,CA,13.0,13.0,CA-13,https://gray.house.gov,273,19,1,89,0,382,362,24.6,75.4,5.0,Adam,Gray,Democratic,1230 Longworth House Office Building,1230 Longworth House Office Building Washington DC 20515-0513,202-225-1947,2025-01-03,2027-01-03
H001090,Harder (CA),Josh Harder,Democratic,D,CA,9.0,9.0,CA-09,https://harder.house.gov,347,2,0,33,0,382,380,8.7,91.3,0.5,Josh,Harder,Democratic,209 Cannon House Office Building,209 Cannon House Office Building Washington DC 20515-0509,202-225-4540,2025-01-03,2027-01-03
H001068,Huffman,Jared Huffman,Democratic,D,CA,2.0,2.0,CA-02,https://huffman.house.gov,376,4,0,2,0,382,378,0.5,99.5,1.0,Jared,Huffman,Democratic,2330 Rayburn House Office Building,2330 Rayburn House Office Building Washington DC 20515-0502,202-225-5161,2025-01-03,2027-01-03
J000305,Jacobs,Sara Jacobs,Democratic,D,CA,51.0,51.0,CA-51,https://sarajacobs.house.gov,381,0,0,1,0,382,382,0.3,99.7,0.0,Sara,Jacobs,Democratic,2348 Rayburn House Office Building,2348 Rayburn House Office Building Washington DC 20515-0551,202-225-2040,2025-01-03,2027-01-03
K000400,Kamlager-Dove,Sydney Kamlager-Dove,Democratic,D,CA,37.0,37.0,CA-37,https://kamlager-dove.house.gov,367,13,0,2,0,382,369,0.5,99.5,3.4,Sydney,Kamlager-Dove,Democratic,144 Cannon House Office Building,144 Cannon House Office Building Washington DC 20515-0537,202-225-7084,2025-01-03,2027-01-03
K000389,Khanna,Ro Khanna,Democratic,D,CA,17.0,17.0,CA-17,https://khanna.house.gov,374,2,0,6,0,382,380,1.6,98.4,0.5,Ro,Khanna,Democratic,306 Cannon House Office Building,306 Cannon House Office Building Washington DC 20515-0517,202-225-2631,2025-01-03,2027-01-03
L000593,Levin,Mike Levin,Democratic,D,CA,49.0,49.0,CA-49,https://levin.house.gov,362,1,1,18,0,382,380,4.7,95.3,0.3,Mike,Levin,Democratic,2352 Rayburn House Office Building,2352 Rayburn House Office Building Washington DC 20515-0549,202-225-3906,2025-01-03,2027-01-03
L000607,Liccardo,Sam T. Liccardo,Democratic,D,CA,16.0,16.0,CA-16,https://liccardo.house.gov,372,3,0,7,0,382,379,1.8,98.2,0.8,Sam,Liccardo,Democratic,1117 Longworth House Office Building,1117 Longworth House Office Building Washington DC 20515-0516,202-225-8104,2025-01-03,2027-01-03
L000582,Lieu,Ted Lieu,Democratic,D,CA,36.0,36.0,CA-36,https://lieu.house.gov,360,12,1,9,0,382,369,2.4,97.6,3.1,Ted,Lieu,Democratic,2454 Rayburn House Office Building,2454 Rayburn House Office Building Washington DC 20515-0536,202-225-3976,2025-01-03,2027-01-03
L000397,Lofgren,Zoe Lofgren,Democratic,D,CA,18.0,18.0,CA-18,https://lofgren.house.gov,368,5,1,8,0,382,376,2.1,97.9,1.3,Zoe,Lofgren,Democratic,1401 Longworth House Office Building,1401 Longworth House Office Building Washington DC 20515-0518,202-225-3072,2025-01-03,2027-01-03
M001163,Matsui,Doris O. Matsui,Democratic,D,CA,7.0,7.0,CA-07,https://matsui.house.gov,379,0,0,3,0,382,382,0.8,99.2,0.0,Doris,Matsui,Democratic,2206 Rayburn House Office Building,2206 Rayburn House Office Building Washington DC 20515-0507,202-225-7163,2025-01-03,2027-01-03
M001241,Min,Dave Min,Democratic,D,CA,47.0,47.0,CA-47,https://min.house.gov,359,1,0,22,0,382,381,5.8,94.2,0.3,Dave,Min,Democratic,1034 Longworth House Office Building,1034 Longworth House Office Building Washington DC 20515-0547,202-225-5611,2025-01-03,2027-01-03
